canonical_district_id,canonical_name,state,source_name,source_vintage,match_type,confidence,notes
261,Aizawl,Mizoram,Aizawl,census_2011,exact,1.0,
262,Champhai,Mizoram,Champhai,census_2011,exact,1.0,
263,Kolasib,Mizoram,Kolasib,census_2011,exact,1.0,
264,Lawngtlai,Mizoram,Lawngtlai,census_2011,exact,1.0,
265,Lunglei,Mizoram,Lunglei,census_2011,exact,1.0,
266,Mamit,Mizoram,Mamit,census_2011,exact,1.0,
267,Saiha,Mizoram,Saiha,census_2011,exact,1.0,
268,Serchhip,Mizoram,Serchhip,census_2011,exact,1.0,
996,Khawzawl,Mizoram,Khawzawl,census_2011,exact,1.0,
994,Hnahthial,Mizoram,Hnahthial,census_2011,exact,1.0,
602,Thiruvallur,Tamil Nadu,Thiruvallur,census_2011,exact,1.0,
603,Chennai,Tamil Nadu,Chennai,census_2011,exact,1.0,
631,Krishnagiri,Tamil Nadu,Krishnagiri,census_2011,exact,1.0,
606,Tiruvannamalai,Tamil Nadu,Tiruvannamalai,census_2011,exact,1.0,
630,Dharmapuri,Tamil Nadu,Dharmapuri,census_2011,exact,1.0,
608,Salem,Tamil Nadu,Salem,census_2011,exact,1.0,
610,Erode,Tamil Nadu,Erode,census_2011,exact,1.0,
611,Nilgiris,Tamil Nadu,Nilgiris,census_2011,exact,1.0,
609,Namakkal,Tamil Nadu,Namakkal,census_2011,exact,1.0,
615,Perambalur,Tamil Nadu,Perambalur,census_2011,exact,1.0,
632,Coimbatore,Tamil Nadu,Coimbatore,census_2011,exact,1.0,
614,Tiruchirappalli,Tamil Nadu,Tiruchirappalli,census_2011,exact,1.0,
616,Ariyalur,Tamil Nadu,Ariyalur,census_2011,exact,1.0,
633,Tiruppur,Tamil Nadu,Tiruppur,census_2011,exact,1.0,
620,Thanjavur,Tamil Nadu,Thanjavur,census_2011,exact,1.0,
613,Karur,Tamil Nadu,Karur,census_2011,exact,1.0,
619,Thiruvarur,Tamil Nadu,Thiruvarur,census_2011,exact,1.0,
612,Dindigul,Tamil Nadu,Dindigul,census_2011,exact,1.0,
623,Madurai,Tamil Nadu,Madurai,census_2011,exact,1.0,
624,Theni,Tamil Nadu,Theni,census_2011,exact,1.0,
625,Virudhunagar,Tamil Nadu,Virudhunagar,census_2011,exact,1.0,
627,Thoothukkudi,Tamil Nadu,Thoothukkudi,census_2011,exact,1.0,
629,Kanyakumari,Tamil Nadu,Kanyakumari,census_2011,exact,1.0,
607,Viluppuram,Tamil Nadu,Viluppuram,census_2011,exact,1.0,
617,Cuddalore,Tamil Nadu,Cuddalore,census_2011,exact,1.0,
621,Pudukkottai,Tamil Nadu,Pudukkottai,census_2011,exact,1.0,
622,Sivaganga,Tamil Nadu,Sivaganga,census_2011,exact,1.0,
626,Ramanathapuram,Tamil Nadu,Ramanathapuram,census_2011,exact,1.0,
618,Nagapattinam,Tamil Nadu,Nagapattinam,census_2011,exact,1.0,
729,Kallakurichi,Tamil Nadu,Kallakurichi,census_2011,exact,1.0,
0,Tenkasi,Tamil Nadu,Tenkasi,census_2011,exact,1.0,
628,Tirunelveli,Tamil Nadu,Tirunelveli,census_2011,exact,1.0,
605,Vellore,Tamil Nadu,Vellore,census_2011,exact,1.0,
0,Ranipet,Tamil Nadu,Ranipet,census_2011,exact,1.0,
0,Tirupathur,Tamil Nadu,Tirupathur,census_2011,exact,1.0,
604,Kancheepuram,Tamil Nadu,Kancheepuram,census_2011,exact,1.0,
0,Chengalpattu,Tamil Nadu,Chengalpattu,census_2011,exact,1.0,
467,Burhanpur,Madhya Pradesh,Burhanpur,census_2011,exact,1.0,
507,Gondia,Maharashtra,Gondia,census_2011,exact,1.0,
506,Bhandara,Maharashtra,Bhandara,census_2011,exact,1.0,
499,Jalgaon,Maharashtra,Jalgaon,census_2011,exact,1.0,
411,Mahasamund,Chhattisgarh,Mahasamund,census_2011,exact,1.0,
504,Wardha,Maharashtra,Wardha,census_2011,exact,1.0,
500,Buldhana,Maharashtra,Buldhana,census_2011,exact,1.0,
491,Valsad,Gujarat,Valsad,census_2011,exact,1.0,
501,Akola,Maharashtra,Akola,census_2011,exact,1.0,
378,Bhadrak,Odisha,Bhadrak,census_2011,exact,1.0,
383,Dhenkanal,Odisha,Dhenkanal,census_2011,exact,1.0,
382,Jajpur,Odisha,Jajpur,census_2011,exact,1.0,
392,Subarnapur,Odisha,Subarnapur,census_2011,exact,1.0,
394,Nuapada,Odisha,Nuapada,census_2011,exact,1.0,
393,Balangir,Odisha,Balangir,census_2011,exact,1.0,
516,Nashik,Maharashtra,Nashik,census_2011,exact,1.0,
391,Boudh,Odisha,Boudh,census_2011,exact,1.0,
508,Gadchiroli,Maharashtra,Gadchiroli,census_2011,exact,1.0,
502,Washim,Maharashtra,Washim,census_2011,exact,1.0,
381,Cuttack,Odisha,Cuttack,census_2011,exact,1.0,
509,Chandrapur,Maharashtra,Chandrapur,census_2011,exact,1.0,
510,Yavatmal,Maharashtra,Yavatmal,census_2011,exact,1.0,
390,Kandhamal,Odisha,Kandhamal,census_2011,exact,1.0,
514,Jalna,Maharashtra,Jalna,census_2011,exact,1.0,
385,Nayagarh,Odisha,Nayagarh,census_2011,exact,1.0,
413,Uttar Bastar Kanker,Chhattisgarh,Uttar Bastar Kanker,census_2011,exact,1.0,
386,Khordha,Odisha,Khordha,census_2011,exact,1.0,
395,Kalahandi,Odisha,Kalahandi,census_2011,exact,1.0,
380,Jagatsinghpur,Odisha,Jagatsinghpur,census_2011,exact,1.0,
387,Puri,Odisha,Puri,census_2011,exact,1.0,
522,Ahmednagar,Maharashtra,Ahmednagar,census_2011,exact,1.0,
397,Nabarangapur,Odisha,Nabarangapur,census_2011,exact,1.0,
512,Hingoli,Maharashtra,Hingoli,census_2011,exact,1.0,
396,Rayagada,Odisha,Rayagada,census_2011,exact,1.0,
511,Nanded,Maharashtra,Nanded,census_2011,exact,1.0,
415,Narayanpur,Chhattisgarh,Narayanpur,census_2011,exact,1.0,
513,Parbhani,Maharashtra,Parbhani,census_2011,exact,1.0,
521,Pune,Maharashtra,Pune,census_2011,exact,1.0,
523,Beed,Maharashtra,Beed,census_2011,exact,1.0,
519,Mumbai,Maharashtra,Mumbai,census_2011,exact,1.0,
398,Koraput,Odisha,Koraput,census_2011,exact,1.0,
542,Srikakulam,Andhra Pradesh,Srikakulam,census_2011,exact,1.0,
543,Vizianagaram,Andhra Pradesh,Vizianagaram,census_2011,exact,1.0,
524,Latur,Maharashtra,Latur,census_2011,exact,1.0,
525,Osmanabad,Maharashtra,Osmanabad,census_2011,exact,1.0,
399,Malkangiri,Odisha,Malkangiri,census_2011,exact,1.0,
526,Solapur,Maharashtra,Solapur,census_2011,exact,1.0,
544,Visakhapatnam,Andhra Pradesh,Visakhapatnam,census_2011,exact,1.0,
558,Bidar,Karnataka,Bidar,census_2011,exact,1.0,
527,Satara,Maharashtra,Satara,census_2011,exact,1.0,
528,Ratnagiri,Maharashtra,Ratnagiri,census_2011,exact,1.0,
579,Kalaburagi,Karnataka,Kalaburagi,census_2011,exact,1.0,
531,Sangli,Maharashtra,Sangli,census_2011,exact,1.0,
530,Kolhapur,Maharashtra,Kolhapur,census_2011,exact,1.0,
547,Krishna,Andhra Pradesh,Krishna,census_2011,exact,1.0,
555,Belagavi,Karnataka,Belagavi,census_2011,exact,1.0,
580,Yadgir,Karnataka,Yadgir,census_2011,exact,1.0,
556,Bagalkote,Karnataka,Bagalkote,census_2011,exact,1.0,
529,Sindhudurg,Maharashtra,Sindhudurg,census_2011,exact,1.0,
548,Guntur,Andhra Pradesh,Guntur,census_2011,exact,1.0,
