district_id,value,year
001,10.4,2020
004,13.6,2020
005,11.1,2020
006,16.4,2020
007,7.0,2020
008,6.5,2020
009,9.1,2020
010,17.9,2020
011,8.3,2020
012,9.9,2020
014,7.3,2020
015,4.2,2020
017,9.2,2020
018,16.4,2020
019,16.8,2020
023,26.8,2020
024,36.4,2020
026,26.8,2020
027,41.3,2020
031,41.9,2020
032,26.2,2020
033,37.1,2020
034,35.9,2020
035,23.5,2020
036,20.7,2020
037,25.9,2020
038,27.7,2020
039,23.3,2020
040,35.1,2020
041,25.2,2020
042,23.7,2020
045,20.4,2020
046,20.1,2020
048,33.8,2020
049,26.2,2020
050,25.0,2020
051,37.8,2020
053,18.7,2020
054,20.7,2020
055,32.2,2020
056,80.3,2020
057,71.1,2020
058,76.6,2020
059,71.2,2020
060,67.3,2020
062,72.8,2020
063,56.25,2020
064,66.0,2020
065,65.7,2020
066,60.8,2020
067,59.0,2020
069,19.9,2020
070,19.0,2020
071,20.6,2020
072,19.2,2020
073,29.1,2020
074,24.6,2020
075,26.5,2020
076,22.4,2020
077,23.7,2020
078,29.4,2020
081,28.2,2020
082,24.8,2020
083,27.0,2020
084,25.6,2020
085,25.3,2020
088,32.8,2020
089,23.5,2020
099,85.3,2020
100,89.0,2020
101,87.4,2020
102,81.9,2020
103,86.1,2020
104,80.8,2020
105,84.8,2020
107,86.4,2020
108,80.5,2020
110,81.5,2020
112,90.0,2020
113,87.5,2020
114,93.7,2020
115,97.8,2020
117,92.0,2020
122,89.1,2020
123,93.2,2020
124,97.5,2020
125,84.2,2020
129,93.6,2020
130,94.3,2020
131,49.7,2020
132,11.8,2020
133,8.2,2020
134,18.8,2020
135,17.1,2020
136,13.1,2020
138,18.4,2020
139,12.5,2020
140,20.0,2020
141,23.8,2020
142,20.5,2020
143,17.6,2020
145,10.8,2020
147,13.4,2020
148,16.1,2020
149,13.6,2020
150,18.7,2020
151,21.4,2020
152,14.2,2020
154,23.2,2020
155,16.0,2020
157,15.8,2020
158,16.8,2020
159,13.5,2020
160,15.3,2020
161,17.9,2020
162,18.4,2020
163,17.9,2020
164,16.1,2020
165,17.6,2020
166,11.4,2020
167,11.7,2020
168,26.95,2020
169,18.2,2020
171,17.4,2020
172,16.8,2020
174,20.2,2020
178,23.0,2020
179,20.7,2020
180,10.1,2020
181,13.5,2020
186,20.4,2020
187,16.2,2020
188,17.9,2020
189,15.6,2020
190,10.5,2020
191,9.0,2020
193,10.6,2020
194,12.0,2020
195,10.6,2020
196,28.1,2020
197,12.8,2020
199,15.0,2020
200,19.7,2020
205,18.1,2020
206,20.7,2020
207,19.2,2020
208,14.2,2020
209,19.5,2020
210,8.1,2020
211,10.2,2020
212,8.4,2020
213,9.5,2020
214,12.8,2020
215,25.3,2020
216,13.2,2020
217,12.7,2020
220,13.5,2020
221,19.0,2020
222,13.2,2020
223,15.6,2020
224,16.3,2020
226,15.2,2020
227,15.1,2020
228,9.7,2020
229,12.8,2020
231,9.6,2020
234,17.2,2020
237,8.1,2020
239,13.2,2020
244,29.9,2020
245,33.5,2020
246,38.3,2020
247,25.1,2020
248,26.9,2020
249,21.5,2020
250,26.6,2020
251,30.5,2020
252,34.6,2020
253,40.5,2020
255,24.5,2020
256,13.4,2020
258,36.8,2020
261,37.5,2020
262,43.6,2020
263,39.6,2020
264,25.950000000000003,2020
265,26.1,2020
266,43.3,2020
267,33.1,2020
268,48.55,2020
269,8.8,2020
270,26.7,2020
272,15.4,2020
273,16.8,2020
274,18.2,2020
275,9.3,2020
276,19.1,2020
277,15.7,2020
278,7.0,2020
279,17.0,2020
280,16.1,2020
289,28.1,2020
290,37.3,2020
291,44.2,2020
292,28.7,2020
293,77.9,2020
294,71.9,2020
295,79.5,2020
296,60.1,2020
298,47.1,2020
300,50.2,2020
301,59.4,2020
302,71.1,2020
303,58.9,2020
305,59.4,2020
306,66.9,2020
307,67.0,2020
308,66.8,2020
309,60.0,2020
310,58.8,2020
311,60.7,2020
312,60.1,2020
313,69.3,2020
314,54.1,2020
315,61.9,2020
316,57.9,2020
317,64.4,2020
318,53.6,2020
319,57.6,2020
320,61.5,2020
321,47.0,2020
322,45.5,2020
323,52.5,2020
325,53.7,2020
326,70.6,2020
328,35.8,2020
330,21.0,2020
331,28.3,2020
333,28.4,2020
334,37.7,2020
337,30.7,2020
339,43.4,2020
342,21.1,2020
343,36.7,2020
344,31.5,2020
345,21.5,2020
346,59.0,2020
347,46.5,2020
349,52.4,2020
350,53.8,2020
351,45.9,2020
352,34.8,2020
353,52.5,2020
354,45.7,2020
355,44.7,2020
356,58.9,2020
358,55.8,2020
359,52.2,2020
360,55.0,2020
361,49.7,2020
363,62.9,2020
364,43.9,2020
365,58.2,2020
367,60.6,2020
369,63.1,2020
370,45.5,2020
371,37.7,2020
372,49.3,2020
374,39.3,2020
375,43.3,2020
376,46.5,2020
378,44.9,2020
379,50.0,2020
380,56.8,2020
381,42.3,2020
383,55.2,2020
385,49.3,2020
386,43.2,2020
388,51.9,2020
389,39.6,2020
390,54.5,2020
392,45.8,2020
393,44.0,2020
394,45.3,2020
395,48.6,2020
396,45.5,2020
397,48.4,2020
398,54.6,2020
399,47.0,2020
400,62.8,2020
401,65.1,2020
402,80.6,2020
403,46.3,2020
404,60.6,2020
406,47.9,2020
407,72.1,2020
408,80.8,2020
410,76.9,2020
411,76.2,2020
412,86.8,2020
413,84.8,2020
414,69.3,2020
415,83.1,2020
416,82.2,2020
417,47.35,2020
418,27.1,2020
419,36.3,2020
420,31.0,2020
421,40.6,2020
422,30.9,2020
423,38.9,2020
424,40.5,2020
425,17.1,2020
426,12.6,2020
431,19.9,2020
432,43.3,2020
433,48.4,2020
434,37.9,2020
435,35.7,2020
436,34.3,2020
439,40.3,2020
441,29.2,2020
442,27.1,2020
443,48.2,2020
444,50.7,2020
445,33.2,2020
446,41.0,2020
449,28.6,2020
451,61.2,2020
453,47.2,2020
454,42.6,2020
455,48.5,2020
457,68.4,2020
459,34.2,2020
460,58.4,2020
461,52.8,2020
463,58.5,2020
464,43.7,2020
465,42.5,2020
467,42.2,2020
469,41.0,2020
470,50.2,2020
473,29.7,2020
474,36.2,2020
475,50.4,2020
476,45.1,2020
477,38.6,2020
478,42.1,2020
479,47.3,2020
480,47.7,2020
481,32.2,2020
486,41.7,2020
487,51.1,2020
488,37.4,2020
490,42.0,2020
491,40.6,2020
495,32.9,2020
496,58.8,2020
497,15.3,2020
498,19.8,2020
499,11.9,2020
500,37.9,2020
501,40.1,2020
502,24.1,2020
503,31.9,2020
504,27.1,2020
505,25.6,2020
506,30.0,2020
509,28.9,2020
510,29.0,2020
511,15.7,2020
512,14.7,2020
513,10.5,2020
515,13.9,2020
516,14.7,2020
519,30.7,2020
525,14.8,2020
526,20.5,2020
527,11.4,2020
528,16.6,2020
529,13.2,2020
530,16.5,2020
531,12.3,2020
532,63.6,2020
533,52.3,2020
534,58.6,2020
535,61.2,2020
536,48.9,2020
538,70.3,2020
539,64.8,2020
541,60.4,2020
542,75.6,2020
543,76.7,2020
544,64.9,2020
545,66.4,2020
546,67.6,2020
547,68.1,2020
548,71.1,2020
549,67.6,2020
552,73.3,2020
553,73.2,2020
554,70.7,2020
556,22.3,2020
558,21.4,2020
559,17.8,2020
560,20.6,2020
561,28.3,2020
562,24.5,2020
563,32.0,2020
564,28.8,2020
566,35.3,2020
567,25.2,2020
573,39.9,2020
574,36.9,2020
575,36.3,2020
576,45.6,2020
578,34.4,2020
580,16.7,2020
582,26.1,2020
584,35.7,2020
585,64.8,2020
586,67.7,2020
587,60.1,2020
588,44.0,2020
589,47.9,2020
590,64.8,2020
591,61.1,2020
592,42.8,2020
593,53.8,2020
594,48.7,2020
595,46.2,2020
596,58.1,2020
597,53.2,2020
598,60.4,2020
599,50.1,2020
600,56.0,2020
601,48.7,2020
602,57.4,2020
603,58.2,2020
604,59.7,2020
605,71.4,2020
606,69.6,2020
607,77.6,2020
608,67.5,2020
609,68.8,2020
610,77.7,2020
612,71.9,2020
614,67.8,2020
615,75.5,2020
616,71.1,2020
617,64.4,2020
618,70.9,2020
619,75.2,2020
620,70.6,2020
621,72.9,2020
622,67.7,2020
623,66.3,2020
625,51.3,2020
626,69.7,2020
627,57.8,2020
628,61.3,2020
629,64.1,2020
630,75.5,2020
631,73.6,2020
632,61.0,2020
633,59.9,2020
634,29.2,2020
635,31.3,2020
636,23.6,2020
637,26.9,2020
638,2.7,2020
639,2.1,2020
640,1.2,2020
716,13.0,2020
740,58.3,2020
